Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Min,Fwd IAT Mean,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Packet Length Variance,FIN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Active Std,Active Max,Active Min,Idle Std
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
0.0,1,60,60,60,60.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,60,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
