Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Min,Fwd IAT Mean,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Packet Length Variance,FIN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Active Std,Active Max,Active Min,Idle Std
104.435371,6,396,66,66,66.0,66,66,7.583637539813977,0.1149035990880905,9.494124636363637,11.701649576720207,5.9e-05,20.8870742,14.323691,104.43141,20.886282,7.963425939901192,30.640448,14.319392,0,0,120,0.0574517995440452,0.0574517995440452,66,0.0,0,0,0,12,0,1.0,9,467,0.0,0.0,0.0,0.0,0.919259332615968
101.171463,40,6156,406,125,153.9,0,0,60.847197593653455,0.3953684054168516,2.594140076923077,8.986952266906725,0.0,2.594140076923077,0.0,0.0,0.0,0.0,0.0,0.0,0,0,320,0.3953684054168516,0.0,125,5499.29,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,22.466863063049104
97.794657,24,2400,100,100,100.0,0,0,24.541218034028176,0.2454121803402817,4.2519416086956525,9.080049265312288,0.0,4.2519416086956525,0.0,0.0,0.0,0.0,0.0,0.0,0,0,192,0.2454121803402817,0.0,100,0.0,0,0,0,0,0,0.0,0,0,19.93402933333333,11.519670263780712,29.897224,3.789759,8.294566025158128
103.940894,95,32248,588,125,339.4526315789474,0,0,310.253248350933,0.9139809784587768,1.1057541914893618,3.5237164638183502,0.0,1.1057541914893618,0.0,0.0,0.0,0.0,0.0,0.0,0,0,760,0.9139809784587768,0.0,125,40392.77407202217,0,0,0,0,0,0.0,0,0,14.5926845,6.6045905000000005,21.197275,7.988094,3.3313758941531786
90.114188,3,1458,486,486,486.0,0,0,16.179472204754262,0.0332910950715108,45.057094000000006,22.429733,22.627361,45.057094000000006,22.627361,0.0,0.0,0.0,0.0,0.0,0,0,24,0.0332910950715108,0.0,486,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
151.454597,6,2916,486,486,486.0,0,0,19.253294767936293,0.0396158328558359,30.2909194,17.316950291985165,21.605615,30.2909194,21.605615,0.0,0.0,0.0,0.0,0.0,0,0,48,0.0396158328558359,0.0,486,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,10.8565665
97.282155,40,10496,397,103,262.4,0,0,107.89234675157022,0.4111751019495815,2.4944142307692303,7.8187646202318755,0.0,2.4944142307692303,0.0,0.0,0.0,0.0,0.0,0.0,0,0,320,0.4111751019495815,0.0,103,16494.440000000002,0,0,0,0,0,0.0,0,0,3.4326105,1.9965445,5.429155,1.436066,9.5275595
110.281581,146,24640,483,103,168.76712328767124,0,0,223.42806275147612,1.3238838133813116,0.7605626275862069,2.466227602504502,0.0,0.7605626275862069,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1168,1.3238838133813116,0.0,103,12130.493713642336,0,0,0,0,0,0.0,0,0,9.196715,5.018437077783919,17.406391,2.343837,4.653440191338851
96.764941,16,1600,100,100,100.0,0,0,16.53491423097132,0.1653491423097132,6.450996066666666,13.240680185524404,0.0,6.450996066666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0,128,0.1653491423097132,0.0,100,0.0,0,0,0,0,0,0.0,0,0,33.328665,15.10246,48.431125,18.226205,17.46140389751399
95.228777,118,23707,575,108,200.9067796610169,0,0,248.94785743179293,1.2391212374805571,0.8139211709401709,3.1526650002400625,0.0,0.8139211709401709,0.0,0.0,0.0,0.0,0.0,0.0,0,0,944,1.2391212374805571,0.0,108,14122.491309968404,0,0,0,0,0,0.0,0,0,9.2631905,6.913496500000001,16.176687,2.349694,4.396055500000001
