Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Act_data_pkt_fwd,Min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
53,1.0,1,0,86,0,86,86,86.0,0.0,0,0,0,0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,86,86,86.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,86.0,86.0,0,0,0,0,86,1727764929.558874,0.0,1727764929.558874,1727764929.558874,0.0,0.0,0.0,0.0
38974,1.0,1,0,102,0,102,102,102.0,0.0,0,0,0,0,102.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,102,102,102.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,102.0,102.0,0,0,0,0,102,1727764929.565077,0.0,1727764929.565077,1727764929.565077,0.0,0.0,0.0,0.0
38749,1.0,1,0,114,0,114,114,114.0,0.0,0,0,0,0,114.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,114,114,114.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,114.0,114.0,0,0,0,0,114,1727764929.566706,0.0,1727764929.566706,1727764929.566706,0.0,0.0,0.0,0.0
53,1.0,1,0,99,0,99,99,99.0,0.0,0,0,0,0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,99,99,99.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,99.0,99.0,0,0,0,0,99,1727764929.62863,0.0,1727764929.62863,1727764929.62863,0.0,0.0,0.0,0.0
53,1.0,1,0,99,0,99,99,99.0,0.0,0,0,0,0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,99,99,99.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,99.0,99.0,0,0,0,0,99,1727764929.628773,0.0,1727764929.628773,1727764929.628773,0.0,0.0,0.0,0.0
53,1.0,1,0,86,0,86,86,86.0,0.0,0,0,0,0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,86,86,86.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,86.0,86.0,0,0,0,0,86,1727764929.629544,0.0,1727764929.629544,1727764929.629544,0.0,0.0,0.0,0.0
53,1.0,1,0,86,0,86,86,86.0,0.0,0,0,0,0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,86,86,86.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,86.0,86.0,0,0,0,0,86,1727764929.629642,0.0,1727764929.629642,1727764929.629642,0.0,0.0,0.0,0.0
53,1.0,1,0,97,0,97,97,97.0,0.0,0,0,0,0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,97,97,97.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,97.0,97.0,0,0,0,0,97,1727764929.632915,0.0,1727764929.632915,1727764929.632915,0.0,0.0,0.0,0.0
53,1.0,1,0,97,0,97,97,97.0,0.0,0,0,0,0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,97,97,97.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,97.0,97.0,0,0,0,0,97,1727764929.633088,0.0,1727764929.633088,1727764929.633088,0.0,0.0,0.0,0.0
34802,1.0,1,0,115,0,115,115,115.0,0.0,0,0,0,0,115.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,115,115,115.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,115.0,115.0,0,0,0,0,115,1727764929.802401,0.0,1727764929.802401,1727764929.802401,0.0,0.0,0.0,0.0
48939,1.0,1,0,127,0,127,127,127.0,0.0,0,0,0,0,127.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,127,127,127.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,127.0,127.0,0,0,0,0,127,1727764929.802401,0.0,1727764929.802401,1727764929.802401,0.0,0.0,0.0,0.0
55731,1.0,1,0,123,0,123,123,123.0,0.0,0,0,0,0,123.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,123,123,123.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,123.0,123.0,0,0,0,0,123,1727764929.802477,0.0,1727764929.802477,1727764929.802477,0.0,0.0,0.0,0.0
33831,1.0,1,0,135,0,135,135,135.0,0.0,0,0,0,0,135.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,135,135,135.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,135.0,135.0,0,0,0,0,135,1727764929.802477,0.0,1727764929.802477,1727764929.802477,0.0,0.0,0.0,0.0
